INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	10.1
Global:
LX	374.314
LY	373.518
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
32	2934.09	5	0	0	0	2895.37	209.27	0.0111979	318.986	243.111	60,91,97,103,126,	872,871,754,868,867,	quadratic
33	2832.09	7	0	0	0	2821.78	195.833	0.00308852	289.411	121.433	13,29,36,108,132,133,134,	804,813,886,852,853,806,805,	quadratic
34	3098.38	6	0	0	0	3079.32	230.201	0.00521958	98.9839	333.671	51,129,135,136,137,138,	73,72,883,78,205,204,	quadratic
35	2975.5	8	0	0	1	2978.87	213.509	-0.000962731	204.541	16.035	102,106,124,131,139,140,141,142,	836,837,877,878,841,71,839,838,	quadratic
36	2833.4	6	0	0	0	2796.27	204.009	0.0111194	145.414	195.255	6,18,46,82,143,144,	756,755,889,759,817,815,	quadratic
37	2540.57	6	0	0	0	2512.38	190.909	0.00941695	42.0168	93.9042	32,63,85,115,120,156,	892,763,636,65,897,898,	quadratic
38	3117.92	6	0	0	0	3089.15	216.503	0.00783068	237.589	87.0326	12,30,100,105,133,139,	801,804,805,879,877,837,	quadratic
39	3021.19	5	0	1	0	2988.56	212.157	0.00916253	23.6291	244.242	72,88,119,125,145,	196,172,869,189,193,	quadratic
40	3241.8	5	0	0	1	3199.02	220.228	0.0111961	85.7084	2.2057	66,128,137,146,147,	634,630,631,205,78,	quadratic
41	2570.56	6	0	0	0	2548.67	192.665	0.00722637	268.671	177.13	14,56,58,93,132,152,	813,812,870,873,885,886,	quadratic
42	2738	6	0	0	0	2710.82	200.285	0.00842163	135.981	259.862	15,22,54,117,143,148,	759,194,195,583,818,817,	quadratic
43	2704.68	5	0	0	0	2664.44	200.944	0.0126235	181.143	228.415	23,49,55,144,148,	818,819,816,815,817,	quadratic
44	2857.76	6	0	0	0	2827.37	213.53	0.00902139	117.303	49.7715	2,67,121,122,127,146,	635,466,465,631,630,637,	quadratic
45	2646.9	6	0	0	1	2623.12	203.594	0.00762225	279.215	373.504	26,79,98,107,142,149,	880,843,579,578,841,878,	quadratic
46	2690.84	7	0	0	0	2695.64	195.784	-0.00151197	182.813	335.575	20,50,113,130,136,140,150,	733,584,73,204,839,71,732,	quadratic
47	2446.56	6	0	0	0	2431.64	194.147	0.00517195	247.258	341.024	80,112,141,149,150,155,	578,894,895,732,71,841,	quadratic
48	3001.33	6	0	1	0	2969.9	208.87	0.0088883	349.492	113.831	39,87,109,114,134,156,	856,853,852,854,898,897,	quadratic
49	3200.48	7	0	0	0	3196.34	213.753	0.00109925	40.211	303.583	43,52,89,118,135,145,151,	580,882,883,72,192,193,189,	quadratic
50	3000.65	7	0	1	1	2995.25	213.732	0.0015262	22.4082	367.473	45,65,84,99,138,147,151,	882,641,850,49,634,78,883,	quadratic
End

