Voronoi Tesselation Data: 
NumbCells 400 	 rng 2031 
ratio pressure to tension	3.333333
Global:
LX	750.000000
LY	750.000000
A0	1406.250000
SEED	89542
TIMEINTERVAL	1.000000
MINAREA	14.062500
MINLENGTH	0.625000
NEWEDGELENGTH	1.250000
K	1.333333
GAMMA	10.000000
TOTALTIME	100.000000
CURRENTTIME	0.000000
VERBOSEON	1
INITIALSTEPSIZE	0.000100
error_tolerance_absolute_mechanical	0.010000
TISSUE_ALPHA	4.00
ALPHAM	0.400000
TISSUE_EXT_STRESS_X	0.000000
TISSUE_EXT_STRESS_Y	0.000000
equilibriumtolerance	1.000000e-02
NUCLEATIONTHRESHOLD	2.000000
NUCLEATIONBASECRITERIA	1
endGlobal
Vertices
id	x	y
7020	 444.1037	 552.3212
7021	 418.9972	 575.9315
7022	 421.3403	 582.9721
7108	 282.5299	 735.0301
7109	 299.5409	 734.6253
Edges
id	vertex1	vertex2	xflag	yflag
1	 5774	 5031	 0 	 0 
2	 5031	 5032	 0 	 0 
3	 5032	 5029	 0 	 0 
4	 5029	 5030	 0 	 0 
5	 5030	 5775	 0 	 0 
6	 5775	 5774	 0 	 0 
7	 4093	 1964	 0 	 0 
8	 1964	 1963	 0 	 0 
9	 1963	 3026	 0 	 0 
10	 3026	 3027	 0 	 0 
11	 3027	 1949	 0 	 0 
12	 1949	 3017	 0 	 0 
13	 3017	 4091	 0 	 0 
14	 4091	 4093	 0 	 0 
15	 6362	 5871	 0 	 0 
16	 5871	 5542	 0 	 0 
17	 5542	 5543	 0 	 0 
18	 5543	 5544	 0 	 0 
19	 5544	 6361	 0 	 0 
20	 6361	 6362	 0 	 0 
21	 3019	 943	 0 	 0 
22	 943	 2906	 0 	 0 
23	 2906	 2910	 0 	 0 
24	 2910	 1938	 0 	 0 
25	 1938	 1961	 0 	 0 
26	 1961	 3020	 0 	 0 
27	 3020	 3019	 0 	 0 
28	 5051	 1966	 0 	 0 
29	 1966	 3005	 0 	 0 
