write testing
INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	0
Global:
LX	375
LY	375
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
23	2796.77	4	0	0	0	1605.05	161.737	0.361564	253.119	40.9151	31,105,106,107,	879,880,878,877,	quadratic
24	2667.99	5	0	0	0	2169.59	185.436	0.158512	338.069	165.112	95,108,109,110,111,	803,866,865,854,852,	quadratic
25	2563.58	6	0	0	0	3065.48	216.674	-0.166127	246.01	301.423	19,62,81,104,112,113,	875,733,732,730,731,874,	quadratic
26	3039.19	6	0	1	0	2264.83	184.936	0.216198	19.377	144.803	74,86,110,114,115,116,	173,66,64,175,854,865,	quadratic
27	2723.76	6	0	0	0	2256.18	195.629	0.145665	63.931	245.338	16,53,71,117,118,119,	194,197,196,193,192,195,	quadratic
28	2966	5	0	0	0	1664.24	173.889	0.372415	93.7186	96.8539	1,33,68,120,121,	762,635,637,636,763,	quadratic
29	2912.71	5	0	0	0	3115.84	217.978	-0.0591737	160.268	58.1351	3,101,122,123,124,	466,627,836,838,465,	quadratic
30	3005.51	7	0	1	0	2726.51	199.236	0.0787664	4.46644	195.027	73,92,96,111,116,125,126,	172,173,865,866,867,868,869,	quadratic
31	2725.16	6	0	0	1	3288.09	224.305	-0.175277	145.435	4.22115	123,127,128,129,130,131,	465,838,839,204,205,631,	quadratic
32	2934.09	5	0	0	0	2151.38	188.014	0.226356	320.162	234.114	60,91,97,103,126,	872,871,754,868,867,	quadratic
33	2832.09	8	0	0	0	3040.07	204.581	-0.062315	296.571	126.178	13,29,36,94,108,132,133,134,	804,813,814,803,852,853,806,805,	quadratic
34	3098.38	7	0	0	0	4011	253.793	-0.24993	94.4272	333.461	44,51,129,135,136,137,138,	218,219,78,205,204,73,72,	quadratic
35	2975.5	8	0	0	1	3143.68	210.034	-0.0479605	210.577	25.5156	102,106,124,131,139,140,141,142,	836,837,877,878,841,71,839,838,	quadratic
36	2833.4	7	0	0	0	2900.42	203.743	-0.0200697	129.2	192.474	6,18,46,70,82,143,144,	756,755,757,758,759,817,815,	quadratic
37	2540.57	6	0	0	0	2312.23	189.199	0.0762624	48.3998	106.444	32,63,75,85,115,120,	765,763,636,65,64,66,	quadratic
38	3117.92	6	0	0	0	2577.5	196.55	0.147074	242.668	84.5656	12,30,100,105,133,139,	801,804,805,879,877,837,	quadratic
39	3021.19	5	0	1	0	2266.34	190.043	0.212007	24.2745	235.354	72,88,119,125,145,	196,172,869,189,193,	quadratic
40	3241.8	5	0	0	1	3307.35	225.663	-0.0171596	87.6757	10.6004	66,128,137,146,147,	634,630,631,205,78,	quadratic
41	2570.56	5	0	0	0	2447.58	192.891	0.0405936	271.518	179.452	14,56,58,93,132,	813,812,870,873,814,	quadratic
42	2738	6	0	0	0	2687.33	207.094	0.015702	129.455	250.9	15,22,54,117,143,148,	759,194,195,583,818,817,	quadratic
43	2704.68	5	0	0	0	3389.28	223.836	-0.214778	179.146	224.647	23,49,55,144,148,	818,819,816,815,817,	quadratic
44	2857.76	6	0	0	0	2689.13	207.282	0.0500688	109.354	66.4774	2,67,121,122,127,146,	635,466,465,631,630,637,	quadratic
45	2646.9	6	0	0	1	2043.35	181.131	0.19348	276.011	7.92011	26,79,98,107,142,149,	880,843,579,578,841,878,	quadratic
46	2690.84	7	0	0	1	3837.77	236.373	-0.361672	186.967	343.248	20,50,113,130,136,140,150,	733,584,73,204,839,71,732,	quadratic
47	2446.56	5	0	0	1	2612.52	200.317	-0.057561	252.639	349.448	80,112,141,149,150,	578,730,732,71,841,	quadratic
48	3001.33	5	0	1	0	2349.33	186.272	0.184334	353.158	122.177	39,87,109,114,134,	856,853,852,854,175,	quadratic
49	3200.48	6	0	1	0	3653.85	235.325	-0.1202	35.0713	292.442	43,52,89,118,135,145,	580,218,72,192,193,189,	quadratic
50	3000.65	6	0	1	1	3994	252.786	-0.280901	15.9221	373.88	45,65,84,99,138,147,	219,641,850,49,634,78,	quadratic
End

INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	0.1
Global:
LX	374.917
LY	374.847
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
49	4.93195	37.53	2.47422	1.44733	2.36163	1.25287	0.0720513	1.16506
64	16.0652	109.744	1.66965	2.21448	2.39905	0.120193	1.31972	0.987048
65	41.0627	74.4143	2.32548	2.20697	1.75074	1.18313	1.08309	0.07965
66	53.5053	142.227	2.03954	2.5903	1.65334	1.40719	0.907733	0.112038
71	219.432	362.359	2.17063	2.02352	2.08904	0.40435	1.44887	0.60741
72	72.4766	298.235	1.9587	1.73939	2.5851	0.597769	1.25127	0.271927
73	146.683	328.01	1.87146	2.53181	1.87992	1.31731	0.377348	0.558379
78	56.167	351.086	2.13612	1.62413	2.52293	0.897612	0.982514	0.085546
172	39.7795	202.361	2.40939	2.17244	1.70135	0.689304	1.53998	0.396917
173	30.2668	173.96	1.951	2.1863	2.14588	1.22738	0.154443	0.821058
175	11.0832	110.819	2.32498	2.25479	1.70341	1.37497	0.914918	0.247572
189	7.68295	264.62	1.9941	2.07309	2.216	0.98579	1.0478	0.0507537
192	72.3886	284.315	1.81099	2.31088	2.16132	1.48969	0.409037	0.496458
193	43.2064	265.02	1.64038	2.07416	2.56865	0.831446	0.452879	1.27307
194	91.006	261.964	1.1282	2.64458	2.5104	1.48017	0.406224	0.157878
195	90.0492	267.981	1.59036	2.21791	2.47492	0.6179	1.28623	0.491055
196	47.9096	206.966	2.54543	1.73241	2.00535	1.35349	0.78543	0.487284
197	62.2339	205.806	1.65334	1.96349	2.66635	0.270655	1.06252	1.2524
204	146.168	335.107	2.39491	1.50981	2.37847	0.300884	1.49012	0.454019
205	116.933	361.545	2.23593	2.21794	1.82932	1.28841	0.373751	0.744212
465	127.151	37.2682	2.41061	1.55223	2.32035	1.46717	0.514245	0.691058
466	142.714	91.3025	2.08168	2.38239	1.81911	0.81039	1.42165	0.380804
577	344.269	359.433	2.28835	2.31099	1.68384	0.488526	1.33045	0.66697
578	289.256	352.447	2.60298	2.00618	1.67402	0.634017	1.47103	0.369073
579	306.573	366.096	2.29917	1.9698	2.01422	1.32454	0.809948	0.339636
580	366.882	292.487	1.73446	2.17986	2.36887	0.19002	1.37446	0.899909
